epoch,step,train/acc_macro,train/f1_macro,train/loss_epoch,train/loss_step,val/acc_macro,val/f1_macro,val/loss
0,4,,,,1.3899714946746826,,,
0,9,,,,1.433410406112671,,,
0,14,,,,1.444812536239624,,,
0,19,,,,1.4356412887573242,,,
0,24,,,,1.418275237083435,,,
0,29,,,,1.3578705787658691,,,
0,34,,,,1.3434600830078125,,,
0,39,,,,1.3298015594482422,,,
0,44,,,,1.3448998928070068,,,
0,49,,,,1.3904489278793335,,,
0,54,,,,1.355112075805664,,,
0,59,,,,1.3392610549926758,,,
0,64,,,,1.4013208150863647,,,
0,69,,,,1.3472371101379395,,,
0,74,,,,1.3584727048873901,,,
0,79,,,,1.2283505201339722,,,
0,84,,,,1.461881399154663,,,
0,89,,,,1.2851462364196777,,,
0,94,,,,1.3961236476898193,,,
0,99,,,,1.3130494356155396,,,
0,104,,,,1.336129069328308,,,
0,109,,,,1.3909162282943726,,,
0,114,,,,1.1957685947418213,,,
0,119,,,,1.3794667720794678,,,
0,124,,,,1.2561109066009521,,,
0,129,,,,1.302293300628662,,,
0,134,,,,1.1564252376556396,,,
0,139,,,,1.2832013368606567,,,
0,144,,,,1.252445936203003,,,
0,149,,,,1.2797231674194336,,,
0,154,,,,1.3281445503234863,,,
0,159,,,,1.1878188848495483,,,
0,164,,,,1.1259350776672363,,,
0,169,,,,1.1754014492034912,,,
0,174,,,,1.2828710079193115,,,
0,179,,,,1.4450106620788574,,,
0,184,,,,1.2129566669464111,,,
0,189,,,,1.2324135303497314,,,
0,194,,,,1.1787691116333008,,,
0,199,,,,1.3681596517562866,,,
0,204,,,,1.3858201503753662,,,
0,209,,,,1.2640516757965088,,,
0,214,,,,1.2322896718978882,,,
0,219,,,,1.204103708267212,,,
0,224,,,,1.1142041683197021,,,
0,229,,,,1.435365080833435,,,
0,234,,,,1.140800952911377,,,
0,239,,,,1.4555673599243164,,,
0,244,,,,1.3396120071411133,,,
0,249,,,,1.2224643230438232,,,
0,254,,,,1.2702603340148926,,,
0,259,,,,1.1819005012512207,,,
0,264,,,,1.3106106519699097,,,
0,269,,,,1.1320409774780273,,,
0,274,,,,1.2102173566818237,,,
0,279,,,,1.2343016862869263,,,
0,284,,,,1.2837464809417725,,,
0,289,,,,1.134832739830017,,,
0,294,,,,1.1374403238296509,,,
0,299,,,,1.2390305995941162,,,
0,304,,,,1.2757973670959473,,,
0,309,,,,1.3692967891693115,,,
0,314,,,,1.3094279766082764,,,
0,319,,,,1.2294940948486328,,,
0,324,,,,1.280066728591919,,,
0,328,,,,,0.1806129366159439,0.08520029485225677,1.2939751148223877
0,328,0.17293642461299896,0.10842052102088928,1.2904082536697388,,,,
1,329,,,,1.1181535720825195,,,
1,334,,,,1.2356784343719482,,,
1,339,,,,1.283689260482788,,,
1,344,,,,1.3422077894210815,,,
1,349,,,,1.281017541885376,,,
1,354,,,,1.0996097326278687,,,
1,359,,,,1.2927191257476807,,,
1,364,,,,1.2160241603851318,,,
1,369,,,,1.2102645635604858,,,
1,374,,,,1.1196465492248535,,,
1,379,,,,1.2507535219192505,,,
1,384,,,,1.237807273864746,,,
1,389,,,,1.2252881526947021,,,
1,394,,,,1.2735117673873901,,,
1,399,,,,1.3047199249267578,,,
1,404,,,,1.3522911071777344,,,
1,409,,,,1.3050062656402588,,,
1,414,,,,1.2659014463424683,,,
1,419,,,,1.1703312397003174,,,
1,424,,,,1.4189453125,,,
1,429,,,,1.3073010444641113,,,
1,434,,,,1.126770257949829,,,
1,439,,,,1.2098305225372314,,,
1,444,,,,1.3041713237762451,,,
1,449,,,,1.0237643718719482,,,
1,454,,,,1.1127939224243164,,,
1,459,,,,1.1268959045410156,,,
1,464,,,,1.275130271911621,,,
1,469,,,,1.1959270238876343,,,
1,474,,,,1.2054288387298584,,,
